t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
6.16,-3.383066753743976e-21,-1.4918579277717525e-20,-6.432465207116434e-20,0.17479649416255733,2.1979255255729863e-20,1.1762578347882211e-20,-4.042301753354916e-20,0.0003443843709685271,0.0,0.0,0.0,0.17453292519943295,-1.7767615088240447e-21,2.964828756842166e-21,-6.585669311357665e-21,0.00026891099992306397,-1.0084028398581557e-21,-2.624187881888434e-21,-9.632132343989367e-21,-0.00013222341705887924,-1.0084028398581557e-21,-2.624187881888434e-21,-9.632132343989367e-21,-0.00013222341705887924
6.18,-2.94847859900935e-21,-1.4685658286456615e-20,-6.51183427540798e-20,0.17480320882788442,2.1729407736731304e-20,1.1646049563045461e-20,-3.968453414577304e-20,0.0003357332663550207,0.0,0.0,0.0,0.17453292519943295,-1.7887797236524547e-21,2.9448732293511485e-21,-6.325882490647274e-21,0.0002614713377438367,-1.0208917891471106e-21,-2.609921097443501e-21,-9.25217080629247e-21,-0.00012856533852961648,-1.0208917891471106e-21,-2.609921097443501e-21,-9.25217080629247e-21,-0.00012856533852961648
6.2,-2.518842764681704e-21,-1.445503981686723e-20,-6.589747780497676e-20,0.17480975454372494,2.14817917163823e-20,1.1530923479469334e-20,-3.895675254484813e-20,0.00032728579202555275,0.0,0.0,0.0,0.17453292519943295,-1.8001653271745286e-21,2.925143850551312e-21,-6.071007525099417e-21,0.0002541969359720125,-1.0328401858242988e-21,-2.595745888976031e-21,-8.879393297544376e-21,-0.000124988518467942,-1.0328401858242988e-21,-2.595745888976031e-21,-8.879393297544376e-21,-0.000124988518467942
6.22,-2.094114795599871e-21,-1.422669612755166e-20,-6.666226861673154e-20,0.17481613528288134,2.123639845409164e-20,1.1417184465778537e-20,-3.823954058773877e-20,0.00031903695781950196,0.0,0.0,0.0,0.17453292519943295,-1.8109415829620736e-21,2.9056256546544856e-21,-5.820943211742074e-21,0.0002470843102900512,-1.0442688571033081e-21,-2.581653554126516e-21,-8.513651799316885e-21,-0.00012149124363649692,-1.0442688571033081e-21,-2.581653554126516e-21,-8.513651799316885e-21,-0.00012149124363649692
6.24,-1.6742504194160376e-21,-1.4000599791885165e-20,-6.741292395577209e-20,0.17482235492102485,2.0993218809191678e-20,1.1304816783324679e-20,-3.753276695202726e-20,0.00031098190717607617,0.0,0.0,0.0,0.17453292519943295,-1.82113090975996e-21,2.8863047140356938e-21,-5.5755910539251606e-21,0.00024013004129290287,-1.0551978036229577e-21,-2.5676361031734294e-21,-8.154802251420489e-21,-0.00011807183271536444,-1.0551978036229577e-21,-2.5676361031734294e-21,-8.154802251420489e-21,-0.00011807183271536444
6.26,-1.2592055541784157e-21,-1.377672369970484e-20,-6.814964997921957e-20,0.17482841723928466,2.07522432618811e-20,1.1193804609016178e-20,-3.6836301172374597e-20,0.0003031159129900523,0.0,0.0,0.0,0.17453292519943295,-1.8307549123504846e-21,2.867168078533969e-21,-5.334855160558772e-21,0.00023333077377409972,-1.0656462328576928e-21,-2.5536862147322523e-21,-7.80270440453125e-21,-0.00011472863595104163,-1.0656462328576928e-21,-2.5536862147322523e-21,-7.80270440453125e-21,-0.00011472863595104163
6.28,-8.489363155109782e-22,-1.3555041058572202e-20,-6.887265025270319e-20,0.1748343259267571,2.0513461933371876e-20,1.1084132056631927e-20,-3.6150013674181155e-20,0.00029543437362206424,0.0,0.0,0.0,0.17453292519943295,-1.8398344112990223e-21,2.848203718021831e-21,-5.09864215008102e-21,0.00022668321598771934,-1.0756325911676087e-21,-2.539797193918021e-21,-7.457221679735157e-21,-0.00011146003479354697,-1.0756325911676087e-21,-2.539797193918021e-21,-7.457221679735157e-21,-0.00011146003479354697
6.3,-4.43399023405613e-22,-1.3335525394638143e-20,-6.958212576879523e-20,0.17484008458293823,2.0276864605268254e-20,1.0975783196702935e-20,-3.5473775804602044e-20,0.0002879328090566609,0.0,0.0,0.0,0.17453292519943295,-1.8483894716173396e-21,2.8294004680768393e-21,-4.8668610589262736e-21,0.00022018413888756465,-1.0851745945406864e-21,-2.5259629328428184e-21,-7.118221034654705e-21,-0.00010826444152232556,-1.0851745945406864e-21,-2.5259629328428184e-21,-7.118221034654705e-21,-0.00010826444152232556
6.32,-4.2550208641516276e-23,-1.3118150553137307e-20,-7.027827496601652e-20,0.17484569672008227,2.0042440738204836e-20,1.0868742075041824e-20,-3.48074598610642e-20,0.00028060685720165826,0.0,0.0,0.0,0.17453292519943295,-1.8564394303859807e-21,2.810747978590053e-21,-4.6394232542442556e-21,0.00021383037534743882,-1.094289258083686e-21,-2.512177873321539e-21,-6.785572835792748e-21,-0.0001051402988628586,-1.094289258083686e-21,-2.512177873321539e-21,-6.785572835792748e-21,-0.0001051402988628586
6.34,3.5365338115387917e-22,-1.2902890698537391e-20,-7.0961293748365e-20,0.17485116576548873,1.981017948976977e-20,1.0762992729995767e-20,-3.415093911742394e-20,0.00027345227032265183,0.0,0.0,0.0,0.17453292519943295,-1.864002923370896e-21,2.792236665160036e-21,-4.4162423506576156e-21,0.00020761881936423414,-1.1029929243111943e-21,-2.4984369716694424e-21,-6.459150736782969e-21,-0.0001020860795948226,-1.1029929243111943e-21,-2.4984369716694424e-21,-6.459150736782969e-21,-0.0001020860795948226
